Original Text,Translated to English,Topic
"Potrzebne są wyjaśnienia w języku przystępnym dla każdego człowieka, ale też odesłania do konkretnych miejsc w prawie UE, w traktatach, w rozporządzeniach (kompetencje organów, procedury). Kto będzie zainteresowany - kliknie by dowiedzieć się więcej (link otwierany w innej, nowej karcie, bez zamykania okna źródłowego)","Explanations are needed in a language accessible to every person, but also sending to specific places in EU law, in treaties, in ordinances (authorities' competences, procedures). Who will be interested - click to learn more (link opened in a different, new card, without closing the source window)",translation
Informationen das es diese Seite überhaupt gibt,Information that this page exists at all,information
"Ich bin erst seit 2 Minuten und zum ersten mal auf der website, vielleicht wäre es sinnvoller so eine Umfrage erst anzubieten wenn man schon ein bisschen länger auf der Website ist.","I've only been on the website for 2 minutes and for the first time, maybe it would only make more sense to offer such a survey if you have been on the website for a little longer.",website
Nö,So -called,nothing
χρειάζεται να ανακαλύψω την χρηστικότητα του και μετά θα μπορώ να γνωρίζω,I need to discover his usability and then I will be able to know,opinion
Relevantní překlad textů,Relevant translation of texts,translation
Crear Sección SOSTENIBILIDAD (ESG),Create Sustainability (ESG) section,opinion
Youssef mejri I'm 18 my tlf:26901312,Youssef mejri I'm 18 my tlf:26901312,opinion
No,No,nothing
Nu mai cereți multă transparență;; nu sunt de acord cu globarizarea,Do not ask for a lot of transparency ;; I do not agree with globarization,document
De momento no.,Not for the moment.,nothing
sunt surd si unde interpretat in Romania ?,Am I deaf and where do you play in Romania?,opinion
Need to be simplified.,Need to be simplified.,nothing
Aucun,None,nothing
Nada a referir.,Nothing to say.,nothing
No,No,nothing
ne,it is,nothing
No,No,nothing
"Non, c'est clair et bien.","No, it's clear and well.",opinion
None at the moment,None at the moment,nothing
None for now. I still have to read through,None for now. I still have to read through,opinion
"Przy każdym akcie powinna być funkcjonalność związana z translacją tekstu, nawet jeżeli oryginalny jest tylko w języku angielskim. To ułatwi dostęp do treści.","Each act should be functionality related to text translation, even if the original is only in English. This will facilitate access to content.",translation
"Die Umfrage sollte dann aufgezeigt werden, wenn man genügend Zeit hatte, sich damit zu befassen...",The survey should be shown if you had enough time to deal with it ...,website
Ist OK.,It's OK.,nothing
Nie,NO,nothing
"Resursele naturale care nu au putut fi folosite datorită tehnologiilor de până acum 20 de ani ar trebui folosite și valorificate de ""familia Europeană -UE"" dar cu oameni dedicați acestei familii și pregătiți nu cu funcții pentru unii care au puțin ies la pensie(deși majoritatea regulamentelor cam susțin la depunerea dosarului pentru candidatură o perioadă de cel puțin 4-5 ani) , mai multă atenție pentru economia circulară și promovarea proiectelor de acest tip care ar trebui să aibă o finalitate de ridicare a plus valorii create, o ridicare a nivelului de trai în țările Uniunii Europene (mai puțin acordarea de bugete mari la diferite proiecte ,dar care nu sunt decât studii pur teoretice fără aplicație concretă în economie).","The natural resources that could not be used due to the technologies up to 20 years ago should be used and used by the ""European family"" but with people dedicated to this family and prepared not with functions for some who have a little retirement (although most The regulations are about to submit the file for the candidacy for a period of at least 4-5 years), more attention to the circular economy and promote the projects of this type that should have a raising purpose plus the value created, a raising level of Living in the countries of the European Union (less the granting of large budgets to different projects, but which are only purely theoretical studies without a concrete application in the economy).",opinion
Weiter so!,Keep it up!,nothing
- ein wenig jugendfreundlichere Darstellung (Layout),- a little more youth -friendly representation (layout),search engine
None at this time. I am researching the EU Cyber Resilience Act.,None at this time. I am researching the EU Cyber Resilience Act.,opinion
"Not, I am not capable to suggest you anything. Sorry","Not, I am not capable to suggest you anything. Sorry",opinion
Avoir plus d'images (graphiques..) que du texte,Have more images (graphics ..) than text,opinion
нямам,do not,nothing
Center the content,Center the content,search engine
Je suis abdou,I am Abdou,opinion
"Graag een op merking ik ben iemand met de aan doening """"Hyperthymesia"""" alles kunnen ondhouden wat ik wil ik/en nog 70 anderen, en ik heb een fotografich geheugen, mij n info man is een prof in de hersenen van het knaw amsterdam, en ik verzamel veel. tel 0649772457","Like to notice I am someone with the attress """" hyperthymesia """" everything I can keep what I want I/and 70 others, and I have a photographic memory, my info man is a professional in the brain of the KNAW Amsterdam , and I collect a lot. tel 0649772457",opinion
collegare riunioni alla documentazione ed alle procedure legislative. Fare una sintesi aggiornata per ogni procedura ad ogni stadio,connect meetings to documentation and legislative procedures. Make an updated synthesis for each procedure at each stage,opinion
Na razie nie,Not yet,nothing
Non,Non,nothing
Search engine for daily news need some boosting,Search engine for daily news need some boosting,search engine
No,No,nothing
nu,not,nothing
Mogłoby się dodać stronę która tłumaczy wszystkie instytucje itp i link do ich stron . (Dla początkujących by to bardzo ułatwiło aby się w tym wszystkim nie pogubić i sobie przypomnieć).,"A page that explains all institutions etc. and a link to their pages could be added. (For beginners, this would make it very easy not to get lost in all this and remember).",opinion
Noch nicht.,Not yet.,nothing
"Das was der EU-Rat ist, ist nicht so wichtig, wie das was der EU-Rat macht.",What the EU Council is is not as important as what the EU Council does.,opinion
J'attends de mieux connaitre.,I'm waiting to know better.,search engine
L'infographie est souvent très bien faite,Infographic is often very well done,opinion
Brak tłumaczeń w ojczystym języku!,No translations in the native language!,translation
nie,NO,nothing
more efficient browser and content presented differently according to the role of the person connecting to the website.,more efficient browser and content presented differently according to the role of the person connecting to the website.,website
meglio di quello della commissione,better than that of the Commission,search engine
Haben Sie einen Newsletter ?,Do you have a newsletter?,website
