Original Text,Translated in English,Topic
kyla grėsmė svarbiai informacijai būti išverstai netaisyklingai,threatened with important information to be translated irregularly,information
Lo facilitaría a más población,I would facilitate it to more population,understanding
"czytanie nie byłoby płynne, mogłyby pojawić się błędy","Reading would not be smooth, errors could appear",human translation
Hay conceptos i palabras que la traducción humana las traduce bien y las màquinas no.,There are concepts I have words that human translations are translate the translators well and màquinas no.,human translation
"Jelenleg még nincs olyan fordító, amely pl. angol nyelvről magyar nyelvre, vagy szláv nyelvekre pontosan tudna fordítani - tekintettel a ragozásra. Fordítva - jobb a helyzet. Az én érdeklődési szintemen, s valószínűleg sok más látogató számára sem volna gond a nem tökéletes gépi fordítás. - Akiknek pedig lényeges a pontos értelmezés, azok úgyis az eredeti szöveggel dolgoznak.","At present, there is no translator that, for example, From English to Hungarian or Slavic languages, you would be able to accurately translate it - given the conjugation. Conversely - the situation is better. At my level of interest, and probably not many other visitors, the not perfect machine translation would be a problem. - And those who have a essential interpretation are working with the original text anyway.",language
Interesse gleich null,Interest immediately,machine translation
die Übersetzung könnte schlechter sein und nicht 100% richtig,The translation could be worse and not 100% correct,human translation
minskad kvalitet på språk,reduced quality in language,quality
Creo que algún modismo o giro gramatical,I believe that algún fad the grammatical turn,quality
"Es gehen wichtige Jobs verloren. Und gerade bei politischen Texten kommt es darauf an, wie etwas tatsächlich gemeint war und, dass es auch so in der Übersetzung klar formuliert ist damit die Kernaussage nicht verloren geht. Sonst ist korrupter Winkeladvokaterei und unverholtem Lobyismus welcher bei auffliegen dann auf Übersetzungs- und Interpretationsfehler geschoben wird gänzlich Tür und Tor geöffnet.","Important jobs are lost. And especially with political texts, it depends on how something was actually meant and that it is clearly formulated in the translation so that the core message is not lost. Otherwise, corrupt angle advocaterei and incompatible lobyism is that when exposed, the door is opened for translation and interpretation errors.",human translation
no way,no way,nothing
Più semplice,Easier,ease of use
"Ich vermute die maschinelle Übersetzung ist nicht perfekt. z.T. machen kleine Übersetzungsfehler einen großen Unterschied und ich traue erfahrungsgemäß Menschen eher zu, den Sinn eines Textes zu verstehen und somit auch richtig übersetzen zu können.",I suspect the machine translation is not perfect. Small translation errors sometimes make a big difference and experience has shown that people are more likely to understand the meaning of a text and thus be able to translate them properly.,human translation
